,row,rt,button_pressed,left_image,right_image,trial_type,trial_index,time_elapsed,subject_id,task,responses
110,11230,32833,NULL,NULL,NULL,survey-text,2,61520,5d1d0c39db7eb70001f1b11a,preference,"{""Q0"":""To see which is more beautiful ""}"
111,11333,24561,NULL,NULL,NULL,survey-text,2,43289,5c4794088a02ea0001938e8b,preference,"{""Q0"":""You want us to choose the image that is most appealing to the eye""}"
112,11436,37708,NULL,NULL,NULL,survey-text,2,58321,5c7c7b6a419b560016020acf,preference,"{""Q0"":""You want me to choose the one I think it's more pleasant""}"
113,11539,20263,NULL,NULL,NULL,survey-text,2,25366,5c90dea4e2826c0001165624,preference,"{Q0"":""}"
114,11642,14202,NULL,NULL,NULL,survey-text,2,19129,5d1d057ae7f3a600013f4065,preference,"{Q0"":""}"
115,11745,7165,NULL,NULL,NULL,survey-text,2,14195,5c6bbea40e825f0001922be5,preference,"{Q0"":""}"
116,11848,42808,NULL,NULL,NULL,survey-text,2,72215,5aa18dc7dbdb470001ef2d72,preference,"{""Q0"":""i have to select the one that i appreciate most. ""}"
117,11951,139122,NULL,NULL,NULL,survey-text,2,165326,5d1ccce501ee5f001c1cd54d,preference,"{""Q0"":""Select the image the I find most visually appealing. ""}"
118,12054,22465,NULL,NULL,NULL,survey-text,2,28979,5a549f948e6259000175983a,preference,"{""Q0"":""which are the most pleasing""}"
119,12157,52058,NULL,NULL,NULL,survey-text,2,109749,5c95eca857491c00165e2c39,preference,"{""Q0"":""the most beautiful and attractive""}"
120,12260,41065,NULL,NULL,NULL,survey-text,2,86471,5d1c05eeb249d3001aa5792a,preference,"{""Q0"":""I think you want me to choose the picture that seems the most beautiful to me.""}"
121,12363,64417,NULL,NULL,NULL,survey-text,2,95550,5cccd9bee48e6700175286ca,preference,"{""Q0"":""Se eligirÃ¡ los nÃºmeros mas hermosos escritos a mano segÃºn mi percepciÃ³n. ""}"
122,12466,36827,NULL,NULL,NULL,survey-text,2,75523,5c2533c689e4a3000128f9b5,preference,"{""Q0"":""choose the image that i find most beautiful""}"
123,12569,35095,NULL,NULL,NULL,survey-text,2,68680,5bcf080ca5fe8000018b7827,preference,"{""Q0"":""You want to see which image Iâ€™m more drawn to""}"
124,12672,18513,NULL,NULL,NULL,survey-text,2,48199,5d1d12c8ed6fda001a74a35f,preference,"{""Q0"":""To pick which one is more pleasing.""}"
125,12775,15171,NULL,NULL,NULL,survey-text,2,26181,5d1d0270601cd7000172942f,preference,"{""Q0"":""By which one looks the most visually appealing in a beautiful manner""}"
126,12878,52340,NULL,NULL,NULL,survey-text,2,55901,5c300a0183d13b0001a24cae,preference,"{Q0"":""}"
127,12981,34423,NULL,NULL,NULL,survey-text,2,70484,5c38d53e4fbfff0001b01f51,preference,"{""Q0"":""clinking or tapping on the one I prefer""}"
128,13084,13314,NULL,NULL,NULL,survey-text,2,18622,5c6b114a3595be0001ae0698,preference,"{""Q0"":""Choose the most beautiful""}"
129,13187,36675,NULL,NULL,NULL,survey-text,2,48184,5d1d1365666ed10001e06a07,preference,"{""Q0"":""PICK THE MORE AESTHETICALLY PLEASING OPTION""}"
130,13290,32240,NULL,NULL,NULL,survey-text,2,46658,5a61e03613898300014b16fa,preference,"{""Q0"":""The most aesthetically pleasing of the pair.""}"
131,13393,47924,NULL,NULL,NULL,survey-text,2,56609,5c0beff7ca7eab0001595603,preference,"{""Q0"":""Dont know""}"
132,13496,32034,NULL,NULL,NULL,survey-text,2,72281,5d1d0f3f643db30001b91b4c,preference,"{""Q0"":""click the picture that I like the most""}"
133,13599,43013,NULL,NULL,NULL,survey-text,2,71804,5bab925733ff970001e34e1e,preference,"{""Q0"":""I will choose by which one I think is more beautiful.""}"
134,13702,59188,NULL,NULL,NULL,survey-text,2,104938,5ce504f21633670001f06c6f,preference,"{""Q0"":""When presented with the pair, one should choose the image on which the number is written more aesthetically pleasing""}"
135,13805,36230,NULL,NULL,NULL,survey-text,2,97659,5c857d860562690017187ba0,preference,"{""Q0"":""i realy donÂ´t know...""}"
136,13908,38719,NULL,NULL,NULL,survey-text,2,77364,5a32aec36629ee00015df667,preference,"{""Q0"":""To choose the most beautiful images""}"
137,14011,49548,NULL,NULL,NULL,survey-text,2,69319,5bb1c3158f3bd70001e544db,preference,"{""Q0"":""The instructions said to pick the image that appears \""mote beautiful\"" to me so I'm assuming you want my subjective opinion on the aesthetic value""}"
138,14114,24112,NULL,NULL,NULL,survey-text,2,44133,5c421b5bc2c49f00017d81f0,preference,"{""Q0"":""I need to chose between a pare of pictures, I click on the one I think is more buetifull.""}"
139,14217,27982,NULL,NULL,NULL,survey-text,2,36082,5c35f2bb1ede2b000114eecf,preference,"{""Q0"":""Tap which text is more attractive ""}"
140,14320,67383,NULL,NULL,NULL,survey-text,2,108267,5d167118768bdf000154e55a,preference,"{""Q0"":""klick or tap""}"
141,14423,82946,NULL,NULL,NULL,survey-text,2,94500,5cdc13c84e5adf0019f5dc33,preference,"{""Q0"":""I dont know ""}"
142,14526,40949,NULL,NULL,NULL,survey-text,2,70012,5c62ab45802ccc00010d86f7,preference,"{""Q0"":""The simplest and best looking one""}"
143,14629,14785,NULL,NULL,NULL,survey-text,2,18290,5d1d11ed2741ce0019113ccd,preference,"{""Q0"":""Uniformity""}"
144,14732,33921,NULL,NULL,NULL,survey-text,2,65574,5a08ea4ab921bc0001e1c10a,preference,"{""Q0"":""i think its to choose the one that looks better written ""}"
145,14835,21544,NULL,NULL,NULL,survey-text,2,49777,5d1cbcd04418d10001ce3929,preference,"{""Q0"":""5d1c""}"
146,14938,20424,NULL,NULL,NULL,survey-text,2,33773,595e5288fe4a4700017a0946,preference,"{""Q0"":""To choose which one is most appealing to you from looks alone""}"
147,15041,21030,NULL,NULL,NULL,survey-text,2,24769,5a8d2e3a2a842c0001fd001d,preference,"{""Q0"":""The ones we find the most appealing""}"
148,15144,5791,NULL,NULL,NULL,survey-text,2,8845,5ce54fc7cd24e90001c6db84,preference,"{Q0"":""}"
149,15247,12659,NULL,NULL,NULL,survey-text,2,23297,5bb455c84cb73b00011415a9,preference,"{""Q0"":""Choose the more aesthetically appealing one""}"
150,15350,34203,NULL,NULL,NULL,survey-text,2,63458,5d1bb1ba36b2500019b307fa,preference,"{""Q0"":""I have to choose which image is more beautiful in my opinion.""}"
151,15453,189416,NULL,NULL,NULL,survey-text,2,222206,5c547f98f47e770001137b28,preference,"{""Q0"":""You want me to choose an image that seems more beautiful to me.""}"
152,15556,23337,NULL,NULL,NULL,survey-text,2,40804,5acba5505cd10500016280eb,preference,"{""Q0"":""Choose the one that's the most aesthetically pleasing.""}"
153,15659,33677,NULL,NULL,NULL,survey-text,2,74787,5cd722e52a6c98001a4626ab,preference,"{""Q0"":""By taping on the one that is more beautiful to me""}"
154,15762,20697,NULL,NULL,NULL,survey-text,2,46531,5c4242e047e71a00015ca62b,preference,"{""Q0"":""You want participants to choose which design looks more appealing to them personally.""}"
155,15865,22575,NULL,NULL,NULL,survey-text,2,41097,5693f7d3e0c800000b59669f,preference,"{""Q0"":""whichever is more appealing""}"
156,15968,59429,NULL,NULL,NULL,survey-text,2,89338,5c98d8c2eb11b400019e7559,preference,"{""Q0"":""The image I think is most beautiful""}"
157,16071,29952,NULL,NULL,NULL,survey-text,2,66344,5c2d754477f26c00019ef391,preference,"{""Q0"":""Click the most beautiful picture if you are in a computer""}"
158,16174,26262,NULL,NULL,NULL,survey-text,2,52059,5c632fe8c7590300018f2f48,preference,"{""Q0"":""I have to click on the image I like the most.""}"
159,16277,164707,NULL,NULL,NULL,survey-text,2,181711,5d0c0097e4947900164c156e,preference,"{""Q0"":""You want me to pick from the images you present me the one I think is more visually\nappealing ""}"
160,16380,40063,NULL,NULL,NULL,survey-text,2,54045,5bc219435628050001ffa049,preference,"{""Q0"":""To see which I think is more beautiful""}"
161,16483,15675,NULL,NULL,NULL,survey-text,2,22908,5bcb93d0a6f5840001164db8,preference,"{Q0"":""}"
162,16586,33503,NULL,NULL,NULL,survey-text,2,52902,5bf554a443a7d80001652f19,preference,"{""Q0"":""Choose the images that look the most beautiful to you""}"
163,16689,13450,NULL,NULL,NULL,survey-text,2,30200,5659ca1ca916e60005fce117,preference,"{""Q0"":""chose the more beautiful one""}"
164,16792,27304,NULL,NULL,NULL,survey-text,2,49296,5c0dae815d76ba00012b16de,preference,"{""Q0"":""You want me to choose the digit in a pair that looks more appealing or beautiful than the other.""}"
165,16895,126359,NULL,NULL,NULL,survey-text,2,161723,5bf5ba787ac3710001c47193,preference,"{""Q0"":""depending on which picture I like most""}"
166,16998,96695,NULL,NULL,NULL,survey-text,2,104483,5d1c66aa961956000119a406,preference,"{""Q0"":""I think its very significant for marketing""}"
167,17101,16270,NULL,NULL,NULL,survey-text,2,23763,5ab91bd79534ba0001c6bbfc,preference,"{""Q0"":""The nicest writing""}"
168,17204,42356,NULL,NULL,NULL,survey-text,2,66784,5c4c296e9e6c990001f98c05,preference,"{""Q0"":""I have to select the picture which is more beautiful in my opinion""}"
169,17307,102377,NULL,NULL,NULL,survey-text,2,128857,5cf71318c5cf0e001c0c023e,preference,"{""Q0"":""Choose the best looking aesthetic image that I like the most.""}"
170,17410,36493,NULL,NULL,NULL,survey-text,2,46670,5b366ffa06f9f90001fb4f41,preference,"{""Q0"":""Idk, it would be a suprise""}"
171,17513,33171,NULL,NULL,NULL,survey-text,2,51343,5d1c3fbe08499e0019b489fe,preference,"{""Q0"":""I need to choose the image that is most beautiful, the most visually appealing.\n""}"
172,17616,102574,NULL,NULL,NULL,survey-text,2,132125,5d1cfd402e1429001c22f7f4,preference,"{""Q0"":""I choose the one I like more""}"
173,17719,21115,NULL,NULL,NULL,survey-text,2,26384,5cda8737480d7d00016cd7ff,preference,"{Q0"":""}"
174,17822,23227,NULL,NULL,NULL,survey-text,2,30105,5cf8d6803dc9420016555dc0,preference,"{""Q0"":""by clicking on it\n""}"
175,17925,5901,NULL,NULL,NULL,survey-text,2,20195,5ad502f6e704600001542804,preference,"{Q0"":""}"
176,18028,83293,NULL,NULL,NULL,survey-text,2,129441,59ee2a30ae9f950001d849bf,preference,"{""Q0"":""Everyone has a specific taste, or can acquire/develop an opinion about anything. Call it aesthetics if you want.""}"
177,18131,29680,NULL,NULL,NULL,survey-text,2,47295,5d138e470390f7001ac99a6b,preference,"{""Q0"":""You want me to choose the image that is most aesthetically pleasing.""}"
178,18234,33245,NULL,NULL,NULL,survey-text,2,53714,5a5a2744e0cf3d000126713e,preference,"{""Q0"":""You want me to choose that image that seems more beautiful to me""}"
179,18337,33710,NULL,NULL,NULL,survey-text,2,88463,5afd42f956fe2c000168fd02,preference,"{""Q0"":""I have to click on the image that looks more beautiful to me""}"
180,18440,32261,NULL,NULL,NULL,survey-text,2,69886,59899fe0fd8cca00015cc47b,preference,"{""Q0"":""Which I think is more appealing ""}"
181,18543,30586,NULL,NULL,NULL,survey-text,2,68548,5d1d13c26ce490001692baa2,preference,"{""Q0"":""I am to pick which one looks most beautiful to me.""}"
182,18646,42201,NULL,NULL,NULL,survey-text,2,62242,5ba920744584060001d688a1,preference,"{""Q0"":""I think you want me to choose which selection is readable and more aesthetically pleasing.""}"
183,18749,135840,NULL,NULL,NULL,survey-text,2,167172,5b04bbd4b98c410001adb8db,preference,"{""Q0"":""I believe that you are required to choose the best type of handwriting according to a subjective preference that includes factors such as aesthetics, legibility, ink economy and more.""}"
184,18852,22352,NULL,NULL,NULL,survey-text,2,54369,596f8cb5204b4e0001e41b8e,preference,"{""Q0"":""Which handriting is looking nicer i have to choose""}"
185,18955,37773,NULL,NULL,NULL,survey-text,2,65755,5d03bba199108c000185eeb5,preference,"{""Q0"":""i choose whichever sample i find the most beautiful/visually appealing""}"
186,19058,65493,NULL,NULL,NULL,survey-text,2,111442,5cae6f6a4665440018e81436,preference,"{""Q0"":""You want me to choose the most appealing image!?""}"
187,19161,23717,NULL,NULL,NULL,survey-text,2,43181,5c5a388e22bdd70001afbbda,preference,"{""Q0"":""i have to choose which image is more beautiful.""}"
188,19264,116637,NULL,NULL,NULL,survey-text,2,155683,5d1666ea78167300018d39b7,preference,"{""Q0"":""I have to choose the picture which more positive to me, or which I like more.""}"
189,19367,83067,NULL,NULL,NULL,survey-text,2,657542,5d0c348daf24de00172ea947,preference,"{""Q0"":""I will view 2 handwritten numbers. Between the 2 images, I will pick which of the pair I find more beautiful, or visually appealing.""}"
190,19470,36412,NULL,NULL,NULL,survey-text,2,75983,5b16f2b0dbae3e00017e696e,preference,"{""Q0"":""the one we consider more beautiful.""}"
191,19573,222534,NULL,NULL,NULL,survey-text,2,252272,5c862845c2ceec001719a6bd,preference,"{""Q0"":""I have to choose which image is more beautiful""}"
192,19676,41320,NULL,NULL,NULL,survey-text,2,53995,5c9ade979542a10013834715,preference,"{""Q0"":""To select the written character that looks better to me, perhaps to find correlation between different people and font preferences and what it represents. ""}"
193,19779,43692,NULL,NULL,NULL,survey-text,2,74660,5a29df0ab6831200015a2bfc,preference,"{""Q0"":""To choose the font that most appeals to me""}"
194,19882,32162,NULL,NULL,NULL,survey-text,2,58200,5aeb6450ec80a30001c01a25,preference,"{""Q0"":""Choose the one that looks the most beautiful, i.e. the most aesthetically pleasing""}"
195,19985,27488,NULL,NULL,NULL,survey-text,2,53959,5cedd336cade3c00013eab18,preference,"{""Q0"":""Choose whichever is more beutiful""}"
196,20088,14636,NULL,NULL,NULL,survey-text,2,32870,5a7471571904200001555ea5,preference,"{""Q0"":""To select the image that is the most beautiful.""}"
197,20191,54517,NULL,NULL,NULL,survey-text,2,72788,5ce33de7498afe0001b82407,preference,"{""Q0"":""Which image shows the prettiest handwriting""}"
198,20294,47819,NULL,NULL,NULL,survey-text,2,69761,5c9686758daddb0001be35a9,preference,"{""Q0"":""You want me to choose the most beautiful image out of a pair""}"
199,20397,25133,NULL,NULL,NULL,survey-text,2,63021,5ca07b4535bd3a00018c1424,preference,"{""Q0"":""click on the most beautiful""}"
200,20500,178675,NULL,NULL,NULL,survey-text,2,202631,5d1289e464a839001733f845,preference,"{""Q0"":""i think i will have to compare 2 images of handwritten words, and choose which one are better""}"
201,20603,41741,NULL,NULL,NULL,survey-text,2,57025,5b429d0f98a45e0001ee334d,preference,"{Q0"":""}"